|table_schema|table_name                 |column_name         |ordinal_position|data_type|
|silver      |whoscored_team_season      |ws_home_offsides_pg        |14              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_def_rating         |15              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_shots_pg           |16              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_shots_ot_pg        |17              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_dribbles_pg        |18              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_fouled_pg          |19              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_att_rating         |20              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_shots_pg           |21              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_shots_ot_pg        |22              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_dribbles_pg        |23              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_fouled_pg          |24              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_att_rating         |25              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_xg_against         |26              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_goals_against      |27              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_xg_diff_against    |28              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_shots_against      |29              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_xg_per_shot_against|30              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_xg_against_rating  |31              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_xg_for             |32              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_goals_for          |33              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_xg_diff_for        |34              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_shots_for          |35              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_xg_per_shot_for    |36              |DOUBLE   |
|silver      |whoscored_team_season      |ws_away_xg_for_rating      |37              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_xg_against         |38              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_goals_against      |39              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_xg_diff_against    |40              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_shots_against      |41              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_xg_per_shot_against|42              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_xg_against_rating  |43              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_xg_for             |44              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_goals_for          |45              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_xg_diff_for        |46              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_shots_for          |47              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_xg_per_shot_for    |48              |DOUBLE   |
|silver      |whoscored_team_season      |ws_home_xg_for_rating      |49              |DOUBLE   |
|silver      |whoscored_team_season      |source                     |50              |VARCHAR  |
|silver      |whoscored_team_season      |scraped_at                 |51              |VARCHAR  |
|silver      |whoscored_team_season      |comp_category              |52              |VARCHAR  |
|silver      |whoscored_team_season      |raw_team                   |53              |VARCHAR  |
