nom_schema;nom_table;nom_variable_actuel;type_actuel;type_final;new_nom_variable
intermediate;player_match_stats;blank_pct_z5_c5;DOUBLE;DOUBLE;dec_blank_pct_z5_c5
intermediate;player_match_stats;n_actions_blank_late;BIGINT;BIGINT;int_n_actions_blank_late
intermediate;player_match_stats;n_progressive_passes_blank_late;BIGINT;BIGINT;int_n_progressive_passes_blank_late
intermediate;player_match_stats;n_defensive_actions_blank_late;BIGINT;BIGINT;int_n_defensive_actions_blank_late
intermediate;player_match_stats;n_shots_blank_late;BIGINT;BIGINT;int_n_shots_blank_late
intermediate;player_match_stats;blank_late_pct_z1_c1;DOUBLE;DOUBLE;dec_blank_late_pct_z1_c1
intermediate;player_match_stats;blank_late_pct_z1_c2;DOUBLE;DOUBLE;dec_blank_late_pct_z1_c2
intermediate;player_match_stats;blank_late_pct_z1_c3;DOUBLE;DOUBLE;dec_blank_late_pct_z1_c3
intermediate;player_match_stats;blank_late_pct_z1_c4;DOUBLE;DOUBLE;dec_blank_late_pct_z1_c4
intermediate;player_match_stats;blank_late_pct_z1_c5;DOUBLE;DOUBLE;dec_blank_late_pct_z1_c5
intermediate;player_match_stats;blank_late_pct_z2_c1;DOUBLE;DOUBLE;dec_blank_late_pct_z2_c1
intermediate;player_match_stats;blank_late_pct_z2_c2;DOUBLE;DOUBLE;dec_blank_late_pct_z2_c2
intermediate;player_match_stats;blank_late_pct_z2_c3;DOUBLE;DOUBLE;dec_blank_late_pct_z2_c3
intermediate;player_match_stats;blank_late_pct_z2_c4;DOUBLE;DOUBLE;dec_blank_late_pct_z2_c4
intermediate;player_match_stats;blank_late_pct_z2_c5;DOUBLE;DOUBLE;dec_blank_late_pct_z2_c5
intermediate;player_match_stats;blank_late_pct_z3_c1;DOUBLE;DOUBLE;dec_blank_late_pct_z3_c1
intermediate;player_match_stats;blank_late_pct_z3_c2;DOUBLE;DOUBLE;dec_blank_late_pct_z3_c2
intermediate;player_match_stats;blank_late_pct_z3_c3;DOUBLE;DOUBLE;dec_blank_late_pct_z3_c3
intermediate;player_match_stats;blank_late_pct_z3_c4;DOUBLE;DOUBLE;dec_blank_late_pct_z3_c4
intermediate;player_match_stats;blank_late_pct_z3_c5;DOUBLE;DOUBLE;dec_blank_late_pct_z3_c5
intermediate;player_match_stats;blank_late_pct_z4_c1;DOUBLE;DOUBLE;dec_blank_late_pct_z4_c1
intermediate;player_match_stats;blank_late_pct_z4_c2;DOUBLE;DOUBLE;dec_blank_late_pct_z4_c2
intermediate;player_match_stats;blank_late_pct_z4_c3;DOUBLE;DOUBLE;dec_blank_late_pct_z4_c3
intermediate;player_match_stats;blank_late_pct_z4_c4;DOUBLE;DOUBLE;dec_blank_late_pct_z4_c4
intermediate;player_match_stats;blank_late_pct_z4_c5;DOUBLE;DOUBLE;dec_blank_late_pct_z4_c5
intermediate;player_match_stats;blank_late_pct_z5_c1;DOUBLE;DOUBLE;dec_blank_late_pct_z5_c1
intermediate;player_match_stats;blank_late_pct_z5_c2;DOUBLE;DOUBLE;dec_blank_late_pct_z5_c2
intermediate;player_match_stats;blank_late_pct_z5_c3;DOUBLE;DOUBLE;dec_blank_late_pct_z5_c3
intermediate;player_match_stats;blank_late_pct_z5_c4;DOUBLE;DOUBLE;dec_blank_late_pct_z5_c4
intermediate;player_match_stats;blank_late_pct_z5_c5;DOUBLE;DOUBLE;dec_blank_late_pct_z5_c5
intermediate;player_match_stats;n_actions_drawing;BIGINT;BIGINT;int_n_actions_drawing
intermediate;player_match_stats;n_progressive_passes_drawing;BIGINT;BIGINT;int_n_progressive_passes_drawing
intermediate;player_match_stats;n_defensive_actions_drawing;BIGINT;BIGINT;int_n_defensive_actions_drawing
intermediate;player_match_stats;n_shots_drawing;BIGINT;BIGINT;int_n_shots_drawing
intermediate;player_match_stats;drawing_pct_z1_c1;DOUBLE;DOUBLE;dec_drawing_pct_z1_c1
intermediate;player_match_stats;drawing_pct_z1_c2;DOUBLE;DOUBLE;dec_drawing_pct_z1_c2
intermediate;player_match_stats;drawing_pct_z1_c3;DOUBLE;DOUBLE;dec_drawing_pct_z1_c3
intermediate;player_match_stats;drawing_pct_z1_c4;DOUBLE;DOUBLE;dec_drawing_pct_z1_c4
intermediate;player_match_stats;drawing_pct_z1_c5;DOUBLE;DOUBLE;dec_drawing_pct_z1_c5
intermediate;player_match_stats;drawing_pct_z2_c1;DOUBLE;DOUBLE;dec_drawing_pct_z2_c1
intermediate;player_match_stats;drawing_pct_z2_c2;DOUBLE;DOUBLE;dec_drawing_pct_z2_c2
intermediate;player_match_stats;drawing_pct_z2_c3;DOUBLE;DOUBLE;dec_drawing_pct_z2_c3
intermediate;player_match_stats;drawing_pct_z2_c4;DOUBLE;DOUBLE;dec_drawing_pct_z2_c4
intermediate;player_match_stats;drawing_pct_z2_c5;DOUBLE;DOUBLE;dec_drawing_pct_z2_c5
intermediate;player_match_stats;drawing_pct_z3_c1;DOUBLE;DOUBLE;dec_drawing_pct_z3_c1
intermediate;player_match_stats;drawing_pct_z3_c2;DOUBLE;DOUBLE;dec_drawing_pct_z3_c2
intermediate;player_match_stats;drawing_pct_z3_c3;DOUBLE;DOUBLE;dec_drawing_pct_z3_c3
intermediate;player_match_stats;drawing_pct_z3_c4;DOUBLE;DOUBLE;dec_drawing_pct_z3_c4
intermediate;player_match_stats;drawing_pct_z3_c5;DOUBLE;DOUBLE;dec_drawing_pct_z3_c5
intermediate;player_match_stats;drawing_pct_z4_c1;DOUBLE;DOUBLE;dec_drawing_pct_z4_c1
intermediate;player_match_stats;drawing_pct_z4_c2;DOUBLE;DOUBLE;dec_drawing_pct_z4_c2
intermediate;player_match_stats;drawing_pct_z4_c3;DOUBLE;DOUBLE;dec_drawing_pct_z4_c3
intermediate;player_match_stats;drawing_pct_z4_c4;DOUBLE;DOUBLE;dec_drawing_pct_z4_c4
intermediate;player_match_stats;drawing_pct_z4_c5;DOUBLE;DOUBLE;dec_drawing_pct_z4_c5
intermediate;player_match_stats;drawing_pct_z5_c1;DOUBLE;DOUBLE;dec_drawing_pct_z5_c1
intermediate;player_match_stats;drawing_pct_z5_c2;DOUBLE;DOUBLE;dec_drawing_pct_z5_c2
intermediate;player_match_stats;drawing_pct_z5_c3;DOUBLE;DOUBLE;dec_drawing_pct_z5_c3
intermediate;player_match_stats;drawing_pct_z5_c4;DOUBLE;DOUBLE;dec_drawing_pct_z5_c4
intermediate;player_match_stats;drawing_pct_z5_c5;DOUBLE;DOUBLE;dec_drawing_pct_z5_c5
intermediate;player_match_stats;n_actions_drawing_late;BIGINT;BIGINT;int_n_actions_drawing_late
intermediate;player_match_stats;n_progressive_passes_drawing_late;BIGINT;BIGINT;int_n_progressive_passes_drawing_late
intermediate;player_match_stats;n_defensive_actions_drawing_late;BIGINT;BIGINT;int_n_defensive_actions_drawing_late
intermediate;player_match_stats;n_shots_drawing_late;BIGINT;BIGINT;int_n_shots_drawing_late
intermediate;player_match_stats;drawing_late_pct_z1_c1;DOUBLE;DOUBLE;dec_drawing_late_pct_z1_c1
intermediate;player_match_stats;drawing_late_pct_z1_c2;DOUBLE;DOUBLE;dec_drawing_late_pct_z1_c2
intermediate;player_match_stats;drawing_late_pct_z1_c3;DOUBLE;DOUBLE;dec_drawing_late_pct_z1_c3
intermediate;player_match_stats;drawing_late_pct_z1_c4;DOUBLE;DOUBLE;dec_drawing_late_pct_z1_c4
intermediate;player_match_stats;drawing_late_pct_z1_c5;DOUBLE;DOUBLE;dec_drawing_late_pct_z1_c5
intermediate;player_match_stats;drawing_late_pct_z2_c1;DOUBLE;DOUBLE;dec_drawing_late_pct_z2_c1
intermediate;player_match_stats;drawing_late_pct_z2_c2;DOUBLE;DOUBLE;dec_drawing_late_pct_z2_c2
intermediate;player_match_stats;drawing_late_pct_z2_c3;DOUBLE;DOUBLE;dec_drawing_late_pct_z2_c3
intermediate;player_match_stats;drawing_late_pct_z2_c4;DOUBLE;DOUBLE;dec_drawing_late_pct_z2_c4
intermediate;player_match_stats;drawing_late_pct_z2_c5;DOUBLE;DOUBLE;dec_drawing_late_pct_z2_c5
intermediate;player_match_stats;drawing_late_pct_z3_c1;DOUBLE;DOUBLE;dec_drawing_late_pct_z3_c1
intermediate;player_match_stats;drawing_late_pct_z3_c2;DOUBLE;DOUBLE;dec_drawing_late_pct_z3_c2
intermediate;player_match_stats;drawing_late_pct_z3_c3;DOUBLE;DOUBLE;dec_drawing_late_pct_z3_c3
intermediate;player_match_stats;drawing_late_pct_z3_c4;DOUBLE;DOUBLE;dec_drawing_late_pct_z3_c4
intermediate;player_match_stats;drawing_late_pct_z3_c5;DOUBLE;DOUBLE;dec_drawing_late_pct_z3_c5
intermediate;player_match_stats;drawing_late_pct_z4_c1;DOUBLE;DOUBLE;dec_drawing_late_pct_z4_c1
intermediate;player_match_stats;drawing_late_pct_z4_c2;DOUBLE;DOUBLE;dec_drawing_late_pct_z4_c2
intermediate;player_match_stats;drawing_late_pct_z4_c3;DOUBLE;DOUBLE;dec_drawing_late_pct_z4_c3
intermediate;player_match_stats;drawing_late_pct_z4_c4;DOUBLE;DOUBLE;dec_drawing_late_pct_z4_c4
intermediate;player_match_stats;drawing_late_pct_z4_c5;DOUBLE;DOUBLE;dec_drawing_late_pct_z4_c5
intermediate;player_match_stats;drawing_late_pct_z5_c1;DOUBLE;DOUBLE;dec_drawing_late_pct_z5_c1
intermediate;player_match_stats;drawing_late_pct_z5_c2;DOUBLE;DOUBLE;dec_drawing_late_pct_z5_c2
intermediate;player_match_stats;drawing_late_pct_z5_c3;DOUBLE;DOUBLE;dec_drawing_late_pct_z5_c3
intermediate;player_match_stats;drawing_late_pct_z5_c4;DOUBLE;DOUBLE;dec_drawing_late_pct_z5_c4
intermediate;player_match_stats;drawing_late_pct_z5_c5;DOUBLE;DOUBLE;dec_drawing_late_pct_z5_c5
intermediate;player_match_stats;n_actions_winning;BIGINT;BIGINT;int_n_actions_winning
intermediate;player_match_stats;n_progressive_passes_winning;BIGINT;BIGINT;int_n_progressive_passes_winning
intermediate;player_match_stats;n_defensive_actions_winning;BIGINT;BIGINT;int_n_defensive_actions_winning
intermediate;player_match_stats;n_shots_winning;BIGINT;BIGINT;int_n_shots_winning
intermediate;player_match_stats;winning_pct_z1_c1;DOUBLE;DOUBLE;dec_winning_pct_z1_c1
intermediate;player_match_stats;winning_pct_z1_c2;DOUBLE;DOUBLE;dec_winning_pct_z1_c2
intermediate;player_match_stats;winning_pct_z1_c3;DOUBLE;DOUBLE;dec_winning_pct_z1_c3
intermediate;player_match_stats;winning_pct_z1_c4;DOUBLE;DOUBLE;dec_winning_pct_z1_c4
intermediate;player_match_stats;winning_pct_z1_c5;DOUBLE;DOUBLE;dec_winning_pct_z1_c5
intermediate;player_match_stats;winning_pct_z2_c1;DOUBLE;DOUBLE;dec_winning_pct_z2_c1
intermediate;player_match_stats;winning_pct_z2_c2;DOUBLE;DOUBLE;dec_winning_pct_z2_c2
intermediate;player_match_stats;winning_pct_z2_c3;DOUBLE;DOUBLE;dec_winning_pct_z2_c3
intermediate;player_match_stats;winning_pct_z2_c4;DOUBLE;DOUBLE;dec_winning_pct_z2_c4
intermediate;player_match_stats;winning_pct_z2_c5;DOUBLE;DOUBLE;dec_winning_pct_z2_c5
intermediate;player_match_stats;winning_pct_z3_c1;DOUBLE;DOUBLE;dec_winning_pct_z3_c1
intermediate;player_match_stats;winning_pct_z3_c2;DOUBLE;DOUBLE;dec_winning_pct_z3_c2
intermediate;player_match_stats;winning_pct_z3_c3;DOUBLE;DOUBLE;dec_winning_pct_z3_c3
intermediate;player_match_stats;winning_pct_z3_c4;DOUBLE;DOUBLE;dec_winning_pct_z3_c4
intermediate;player_match_stats;winning_pct_z3_c5;DOUBLE;DOUBLE;dec_winning_pct_z3_c5
intermediate;player_match_stats;winning_pct_z4_c1;DOUBLE;DOUBLE;dec_winning_pct_z4_c1
intermediate;player_match_stats;winning_pct_z4_c2;DOUBLE;DOUBLE;dec_winning_pct_z4_c2
intermediate;player_match_stats;winning_pct_z4_c3;DOUBLE;DOUBLE;dec_winning_pct_z4_c3
intermediate;player_match_stats;winning_pct_z4_c4;DOUBLE;DOUBLE;dec_winning_pct_z4_c4
intermediate;player_match_stats;winning_pct_z4_c5;DOUBLE;DOUBLE;dec_winning_pct_z4_c5
intermediate;player_match_stats;winning_pct_z5_c1;DOUBLE;DOUBLE;dec_winning_pct_z5_c1
intermediate;player_match_stats;winning_pct_z5_c2;DOUBLE;DOUBLE;dec_winning_pct_z5_c2
intermediate;player_match_stats;winning_pct_z5_c3;DOUBLE;DOUBLE;dec_winning_pct_z5_c3
intermediate;player_match_stats;winning_pct_z5_c4;DOUBLE;DOUBLE;dec_winning_pct_z5_c4
intermediate;player_match_stats;winning_pct_z5_c5;DOUBLE;DOUBLE;dec_winning_pct_z5_c5
intermediate;player_match_stats;n_actions_winning_late;BIGINT;BIGINT;int_n_actions_winning_late
intermediate;player_match_stats;n_progressive_passes_winning_late;BIGINT;BIGINT;int_n_progressive_passes_winning_late
intermediate;player_match_stats;n_defensive_actions_winning_late;BIGINT;BIGINT;int_n_defensive_actions_winning_late
intermediate;player_match_stats;n_shots_winning_late;BIGINT;BIGINT;int_n_shots_winning_late
intermediate;player_match_stats;winning_late_pct_z1_c1;DOUBLE;DOUBLE;dec_winning_late_pct_z1_c1
intermediate;player_match_stats;winning_late_pct_z1_c2;DOUBLE;DOUBLE;dec_winning_late_pct_z1_c2
intermediate;player_match_stats;winning_late_pct_z1_c3;DOUBLE;DOUBLE;dec_winning_late_pct_z1_c3
intermediate;player_match_stats;winning_late_pct_z1_c4;DOUBLE;DOUBLE;dec_winning_late_pct_z1_c4
intermediate;player_match_stats;winning_late_pct_z1_c5;DOUBLE;DOUBLE;dec_winning_late_pct_z1_c5
intermediate;player_match_stats;winning_late_pct_z2_c1;DOUBLE;DOUBLE;dec_winning_late_pct_z2_c1
intermediate;player_match_stats;winning_late_pct_z2_c2;DOUBLE;DOUBLE;dec_winning_late_pct_z2_c2
intermediate;player_match_stats;winning_late_pct_z2_c3;DOUBLE;DOUBLE;dec_winning_late_pct_z2_c3
intermediate;player_match_stats;winning_late_pct_z2_c4;DOUBLE;DOUBLE;dec_winning_late_pct_z2_c4
intermediate;player_match_stats;winning_late_pct_z2_c5;DOUBLE;DOUBLE;dec_winning_late_pct_z2_c5
intermediate;player_match_stats;winning_late_pct_z3_c1;DOUBLE;DOUBLE;dec_winning_late_pct_z3_c1
intermediate;player_match_stats;winning_late_pct_z3_c2;DOUBLE;DOUBLE;dec_winning_late_pct_z3_c2
intermediate;player_match_stats;winning_late_pct_z3_c3;DOUBLE;DOUBLE;dec_winning_late_pct_z3_c3
intermediate;player_match_stats;winning_late_pct_z3_c4;DOUBLE;DOUBLE;dec_winning_late_pct_z3_c4
intermediate;player_match_stats;winning_late_pct_z3_c5;DOUBLE;DOUBLE;dec_winning_late_pct_z3_c5
intermediate;player_match_stats;winning_late_pct_z4_c1;DOUBLE;DOUBLE;dec_winning_late_pct_z4_c1
intermediate;player_match_stats;winning_late_pct_z4_c2;DOUBLE;DOUBLE;dec_winning_late_pct_z4_c2
intermediate;player_match_stats;winning_late_pct_z4_c3;DOUBLE;DOUBLE;dec_winning_late_pct_z4_c3
intermediate;player_match_stats;winning_late_pct_z4_c4;DOUBLE;DOUBLE;dec_winning_late_pct_z4_c4
intermediate;player_match_stats;winning_late_pct_z4_c5;DOUBLE;DOUBLE;dec_winning_late_pct_z4_c5
intermediate;player_match_stats;winning_late_pct_z5_c1;DOUBLE;DOUBLE;dec_winning_late_pct_z5_c1
intermediate;player_match_stats;winning_late_pct_z5_c2;DOUBLE;DOUBLE;dec_winning_late_pct_z5_c2
intermediate;player_match_stats;winning_late_pct_z5_c3;DOUBLE;DOUBLE;dec_winning_late_pct_z5_c3
intermediate;player_match_stats;winning_late_pct_z5_c4;DOUBLE;DOUBLE;dec_winning_late_pct_z5_c4
intermediate;player_match_stats;winning_late_pct_z5_c5;DOUBLE;DOUBLE;dec_winning_late_pct_z5_c5
intermediate;player_match_stats;n_actions_losing;BIGINT;BIGINT;int_n_actions_losing
intermediate;player_match_stats;n_progressive_passes_losing;BIGINT;BIGINT;int_n_progressive_passes_losing
intermediate;player_match_stats;n_defensive_actions_losing;BIGINT;BIGINT;int_n_defensive_actions_losing
intermediate;player_match_stats;n_shots_losing;BIGINT;BIGINT;int_n_shots_losing
intermediate;player_match_stats;losing_pct_z1_c1;DOUBLE;DOUBLE;dec_losing_pct_z1_c1
intermediate;player_match_stats;losing_pct_z1_c2;DOUBLE;DOUBLE;dec_losing_pct_z1_c2
intermediate;player_match_stats;losing_pct_z1_c3;DOUBLE;DOUBLE;dec_losing_pct_z1_c3
intermediate;player_match_stats;losing_pct_z1_c4;DOUBLE;DOUBLE;dec_losing_pct_z1_c4
intermediate;player_match_stats;losing_pct_z1_c5;DOUBLE;DOUBLE;dec_losing_pct_z1_c5
intermediate;player_match_stats;losing_pct_z2_c1;DOUBLE;DOUBLE;dec_losing_pct_z2_c1
intermediate;player_match_stats;losing_pct_z2_c2;DOUBLE;DOUBLE;dec_losing_pct_z2_c2
intermediate;player_match_stats;losing_pct_z2_c3;DOUBLE;DOUBLE;dec_losing_pct_z2_c3
intermediate;player_match_stats;losing_pct_z2_c4;DOUBLE;DOUBLE;dec_losing_pct_z2_c4
intermediate;player_match_stats;losing_pct_z2_c5;DOUBLE;DOUBLE;dec_losing_pct_z2_c5
intermediate;player_match_stats;losing_pct_z3_c1;DOUBLE;DOUBLE;dec_losing_pct_z3_c1
intermediate;player_match_stats;losing_pct_z3_c2;DOUBLE;DOUBLE;dec_losing_pct_z3_c2
intermediate;player_match_stats;losing_pct_z3_c3;DOUBLE;DOUBLE;dec_losing_pct_z3_c3
intermediate;player_match_stats;losing_pct_z3_c4;DOUBLE;DOUBLE;dec_losing_pct_z3_c4
intermediate;player_match_stats;losing_pct_z3_c5;DOUBLE;DOUBLE;dec_losing_pct_z3_c5
intermediate;player_match_stats;losing_pct_z4_c1;DOUBLE;DOUBLE;dec_losing_pct_z4_c1
intermediate;player_match_stats;losing_pct_z4_c2;DOUBLE;DOUBLE;dec_losing_pct_z4_c2
intermediate;player_match_stats;losing_pct_z4_c3;DOUBLE;DOUBLE;dec_losing_pct_z4_c3
intermediate;player_match_stats;losing_pct_z4_c4;DOUBLE;DOUBLE;dec_losing_pct_z4_c4
intermediate;player_match_stats;losing_pct_z4_c5;DOUBLE;DOUBLE;dec_losing_pct_z4_c5
intermediate;player_match_stats;losing_pct_z5_c1;DOUBLE;DOUBLE;dec_losing_pct_z5_c1
intermediate;player_match_stats;losing_pct_z5_c2;DOUBLE;DOUBLE;dec_losing_pct_z5_c2
intermediate;player_match_stats;losing_pct_z5_c3;DOUBLE;DOUBLE;dec_losing_pct_z5_c3
intermediate;player_match_stats;losing_pct_z5_c4;DOUBLE;DOUBLE;dec_losing_pct_z5_c4
intermediate;player_match_stats;losing_pct_z5_c5;DOUBLE;DOUBLE;dec_losing_pct_z5_c5
intermediate;player_match_stats;n_actions_losing_late;BIGINT;BIGINT;int_n_actions_losing_late
intermediate;player_match_stats;n_progressive_passes_losing_late;BIGINT;BIGINT;int_n_progressive_passes_losing_late
intermediate;player_match_stats;n_defensive_actions_losing_late;BIGINT;BIGINT;int_n_defensive_actions_losing_late
intermediate;player_match_stats;n_shots_losing_late;BIGINT;BIGINT;int_n_shots_losing_late
intermediate;player_match_stats;losing_late_pct_z1_c1;DOUBLE;DOUBLE;dec_losing_late_pct_z1_c1
intermediate;player_match_stats;losing_late_pct_z1_c2;DOUBLE;DOUBLE;dec_losing_late_pct_z1_c2
